Frequency (GHz)	DB(|S(2,1)|) : t_network_lpf	DB(|S(2,1)|) : EM_Extract_Doc
1.94	-0.675736	-0.696328
1.95	-0.679825	-0.699512
1.96	-0.68362	-0.703231
1.97	-0.687117	-0.707577
1.98	-0.690315	-0.712643
1.99	-0.693212	-0.718532
2	-0.695809	-0.725351
2.01	-0.698108	-0.733211
2.02	-0.700114	-0.74223
2.03	-0.701835	-0.752531
2.04	-0.703278	-0.764241
2.05	-0.704456	-0.777494
2.06	-0.705381	-0.792425
2.07	-0.706071	-0.809176
2.08	-0.706543	-0.82789
2.09	-0.706821	-0.848715
2.1	-0.706929	-0.871798
2.11	-0.706894	-0.897291
2.12	-0.706748	-0.925344
2.13	-0.706526	-0.956108
2.14	-0.706266	-0.989732
2.15	-0.706009	-1.02636
2.16	-0.705802	-1.06615
2.17	-0.705693	-1.10922
2.18	-0.705736	-1.15572
2.19	-0.70599	-1.20578
2.2	-0.706516	-1.2595
2.21	-0.707382	-1.31701
2.22	-0.708657	-1.3784
2.23	-0.710418	-1.44377
2.24	-0.712745	-1.5132
2.25	-0.715722	-1.58674
2.26	-0.71944	-1.66446
2.27	-0.723991	-1.74638
2.28	-0.729476	-1.83254
2.29	-0.735996	-1.92295
2.3	-0.74366	-2.0176
2.31	-0.752578	-2.11646
2.32	-0.762867	-2.21952
2.33	-0.774644	-2.32671
2.34	-0.788033	-2.43797
2.35	-0.803159	-2.55324
2.36	-0.820148	-2.67242
2.37	-0.839132	-2.79541
2.38	-0.86024	-2.9221
2.39	-0.883604	-3.05238
2.4	-0.909357	-3.18611
2.41	-0.937628	-3.32316
2.42	-0.968549	-3.46339
2.43	-1.00225	-3.60665
2.44	-1.03884	-3.75278
2.45	-1.07846	-3.90165
2.46	-1.12121	-4.05308
2.47	-1.16721	-4.20692
2.48	-1.21656	-4.36302
2.49	-1.26935	-4.52122
2.5	-1.32567	-4.68136
2.51	-1.3856	-4.8433
2.52	-1.4492	-5.0069
2.53	-1.51653	-5.17202
2.54	-1.58765	-5.33851
2.55	-1.66257	-5.50623
2.56	-1.74133	-5.67505
2.57	-1.82393	-5.84483
2.58	-1.91038	-6.01546
2.59	-2.00065	-6.1868
2.6	-2.09472	-6.35874
2.61	-2.19255	-6.53117
2.62	-2.29408	-6.70399
2.63	-2.39927	-6.87709
2.64	-2.50803	-7.05038
2.65	-2.62028	-7.22376
2.66	-2.73594	-7.39716
2.67	-2.85489	-7.57048
2.68	-2.97703	-7.74366
2.69	-3.10225	-7.91661
2.7	-3.23043	-8.08929
2.71	-3.36144	-8.26161
2.72	-3.49514	-8.43352
2.73	-3.63142	-8.60497
2.74	-3.77012	-8.7759
2.75	-3.91112	-8.94627
2.76	-4.05428	-9.11603
2.77	-4.19945	-9.28514
2.78	-4.34651	-9.45357
2.79	-4.49531	-9.62128
2.8	-4.64573	-9.78823
2.81	-4.79762	-9.95441
2.82	-4.95086	-10.1198
2.83	-5.10533	-10.2843
2.84	-5.2609	-10.448
2.85	-5.41745	-10.6108
2.86	-5.57486	-10.7728
2.87	-5.73304	-10.9338
2.88	-5.89186	-11.0939
2.89	-6.05122	-11.2531
2.9	-6.21104	-11.4114
2.91	-6.37121	-11.5688
2.92	-6.53164	-11.7252
2.93	-6.69226	-11.8806
2.94	-6.85297	-12.0351
2.95	-7.0137	-12.1886
